,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,normalized_page_rank,probability,mass_equivalent,normalized_velocity,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk,Phase Factor,,Transmission frequency,,,m,x,,y,tunneling
36,936,Max65752957,false (human account),human,7/18/2021,https://twitter.com/Max65752957/status/1416693190455922693,185,0,1.23E-104,1.06E-06,2,1.06E-06,1.34E-06,0.00174362,-0.255002829,0.004098804,1.81E-14,,3.47E-15,9.02E-19,6.35E-19,0.001456664,0.00174362,0.48,305.6688427,147.026147,,,7.04E-01,80,5.63E+01,56.80,28.39964523
37,712,babibelle33,false (human account),human,8/25/2021,https://twitter.com/babibelle33/status/1430586492376784907,180,0,5.18E-90,6.37E-06,2,6.37E-06,6.87E-06,0.002840802,-0.152676802,0.006677998,1.76E-14,,3.38E-15,8.77E-19,6.18E-19,0.002913328,0.002840802,0.49,305.6688427,149.099961,,,7.05E-01,80,5.64E+01,56.86,28.43200114
38,924,Caring_Canuck,false (human account),human,7/18/2021,https://twitter.com/Caring_Canuck/status/1416661371345846272,161,0,0.00032035,0.000413005,2,0.000413005,0.000549584,0.001317459,-0.294747717,0.003097008,1.57E-14,,3.02E-15,7.85E-19,5.52E-19,0.04969911,0.001317459,0.52,305.6688427,157.864339,,,7.03E-01,80,5.63E+01,56.77,28.38738854
39,782,PantsClock,false (human account),human,7/19/2021,https://twitter.com/PantsClock/status/1417058833537585156,153,0,6.88E-77,2.23E-05,2,2.23E-05,2.23E-05,0.004486575,0.000812238,0.010546789,1.49E-14,,2.87E-15,7.46E-19,5.25E-19,0.005098325,0.004486575,0.53,305.6688427,162.0469,,,7.04E-01,80,5.63E+01,56.83,28.41513405
40,581,VanderleydeSo14,private_account,bot,8/30/2021,https://twitter.com/VanderleydeSo14/status/1432415992286744583,150,-1.68E-05,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,1.47E-14,,2.82E-15,7.31E-19,5.15E-19,0,0.000179254,0.53,305.6688427,163.145536,,,7.05E-01,80,5.64E+01,56.89,28.44557456
41,963,tvegaw,false (human account),human,7/23/2021,https://twitter.com/tvegaw/status/1418656330311774211,150,0,2.61E-96,3.19E-06,2,3.19E-06,3.64E-06,0.002292211,-0.203839815,0.005388401,1.47E-14,,2.82E-15,7.31E-19,5.15E-19,0.002184996,0.002292211,0.53,305.6688427,163.145536,,,7.05E-01,80,5.64E+01,56.89,28.44557456
42,816,justletmebeme1,false (human account),human,7/18/2021,https://twitter.com/justletmebeme1/status/1416908310368985091,149,0,0.003288775,0.000824948,2,0.000824948,0.00107288,0.001825329,-0.24738236,0.004290883,1.46E-14,,2.80E-15,7.26E-19,5.11E-19,0.060140779,0.001825329,0.54,305.6688427,163.7033,,,7.04E-01,80,5.63E+01,56.85,28.42426997
43,849,DixieGenX,false (human account),human,5/24/2021,https://twitter.com/DixieGenX/status/1396717985746804737,136,0,0.007592808,0.005285186,2,0.005285186,0.006953575,0.00738782,0.271389903,0.017366875,1.33E-14,,2.55E-15,6.63E-19,4.67E-19,0.064444046,0.00738782,0.56,305.6688427,171.517344,,,7.04E-01,80,5.63E+01,56.91,28.45496229
44,574,sir_lars,false (human account),human,10/7/2021,https://twitter.com/sir_lars/status/1446059885548953601,133,0,6.88E-77,2.23E-05,2,2.23E-05,2.23E-05,0.004486575,0.000812238,0.010546789,1.30E-14,,2.50E-15,6.48E-19,4.56E-19,0.005098325,0.004486575,0.57,305.6688427,173.485102,,,7.04E-01,80,5.63E+01,56.87,28.43314815
45,831,elofan1276,false (human account),human,7/22/2021,https://twitter.com/elofan1276/status/1418333361601458177,133,0,1.23E-104,1.06E-06,2,1.06E-06,1.34E-06,0.00174362,-0.255002829,0.004098804,1.30E-14,,2.50E-15,6.48E-19,4.56E-19,0.001456664,0.00174362,0.57,305.6688427,173.485102,,,7.04E-01,80,5.63E+01,56.87,28.43314815
