,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,mass_equivalent,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk
73,912,pinopire43,false (human account),human,5/18/2021,https://twitter.com/pinopire43/status/1394776704745345027,38,0.00E+00,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,3.71E-15,7.13E-16,1.85E-19,1.30E-19,7.28E-04,1.20E-03
74,919,AllieLucas1971,false (human account),human,5/20/2021,https://twitter.com/AllieLucas1971/status/1395476842639933441,35,0.00E+00,6.50E-85,1.06E-05,2.00E+00,1.06E-05,1.11E-05,3.39E-03,3.42E-15,6.57E-16,1.71E-19,1.20E-19,3.64E-03,3.39E-03
75,910,AlfaBravo005,false (human account),human,5/22/2021,https://twitter.com/AlfaBravo005/status/1396144490721730564,31,0.00E+00,1.23E-104,1.06E-06,2.00E+00,1.06E-06,1.34E-06,1.74E-03,3.03E-15,5.82E-16,1.51E-19,1.06E-19,1.46E-03,1.74E-03
76,731,raroberts2010,spammer,bot,8/19/2021,https://twitter.com/raroberts2010/status/1428256312534597636,30,-1.88E-05,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,2.93E-15,5.63E-16,1.46E-19,1.03E-19,0.00E+00,1.79E-04
77,1165,HetrickBarry,spammer,bot,5/25/2021,https://twitter.com/HetrickBarry/status/1397268840321540101,28,-4.86E-03,3.71E-04,0.00E+00,2.00E+00,0.00E+00,0.00E+00,6.51E-04,2.74E-15,5.26E-16,1.36E-19,9.61E-20,3.62E-02,6.51E-04
78,889,Laban471,false (human account),human,5/26/2021,https://twitter.com/Laban471/status/1397581628864700421,27,0.00E+00,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,2.64E-15,5.07E-16,1.32E-19,9.26E-20,7.28E-04,1.20E-03
79,1342,NH_2_NC,false (human account),human,11/5/2021,https://twitter.com/NH_2_NC/status/1456415102576562178,27,0.00E+00,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,2.64E-15,5.07E-16,1.32E-19,9.26E-20,0.00E+00,1.79E-04
80,1164,NYLockdown,spammer,bot,5/25/2021,https://twitter.com/NYLockdown/status/1397265703837782018,26,0.00E+00,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,2.54E-15,4.88E-16,1.27E-19,8.92E-20,0.00E+00,1.79E-04
81,1163,l11432,spammer,bot,5/25/2021,https://twitter.com/l11432/status/1397259095946809356,24,0.00E+00,3.71E-04,0.00E+00,2.00E+00,0.00E+00,0.00E+00,6.51E-04,2.34E-15,4.51E-16,1.17E-19,8.24E-20,3.62E-02,6.51E-04
82,1162,drmassee,spammer,bot,5/25/2021,https://twitter.com/drmassee/status/1397257157687406592,22,-4.86E-03,3.71E-04,0.00E+00,2.00E+00,0.00E+00,0.00E+00,6.51E-04,2.15E-15,4.13E-16,1.07E-19,7.55E-20,3.62E-02,6.51E-04
83,1161,EdwinRankin,spammer,bot,5/25/2021,https://twitter.com/EdwinRankin/status/1397252644125675520,20,-4.86E-03,8.37E-66,0.00E+00,2.00E+00,0.00E+00,0.00E+00,6.89E-04,1.95E-15,3.76E-16,9.75E-20,6.86E-20,4.37E-03,6.89E-04
84,977,EynoufElizabeth,spammer,bot,5/25/2021,https://twitter.com/EynoufElizabeth/status/1397251500850782215,18,-4.86E-03,3.71E-04,0.00E+00,2.00E+00,0.00E+00,0.00E+00,6.51E-04,1.76E-15,3.38E-16,8.77E-20,6.18E-20,3.62E-02,6.51E-04
85,918,IBelieveMothers,false (human account),human,5/22/2021,https://twitter.com/IBelieveMothers/status/1395908333610180610,17,0.00E+00,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,1.66E-15,3.19E-16,8.28E-20,5.83E-20,7.28E-04,1.20E-03
86,1344,ussuricat1,false (human account),human,9/2/2021,https://twitter.com/ussuricat1/status/1433501851245236243,13,0.00E+00,4.60E-90,7.43E-06,2.00E+00,7.43E-06,9.69E-06,2.06E-03,1.27E-15,2.44E-16,6.34E-20,4.46E-20,2.60E-03,2.06E-03
87,868,PatriotDany,false (human account),human,5/26/2021,https://twitter.com/PatriotDany/status/1397383435853967360,12,0.00E+00,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,1.17E-15,2.25E-16,5.85E-20,4.12E-20,7.28E-04,1.20E-03
88,916,LoFaSho24,false (human account),human,5/18/2021,https://twitter.com/LoFaSho24/status/1394706370298064904,12,0.00E+00,7.27E-05,0.00E+00,2.00E+00,0.00E+00,0.00E+00,7.21E-04,1.17E-15,2.25E-16,5.85E-20,4.12E-20,4.44E-02,7.21E-04
89,697,CBmdnc,false (human account),human,8/7/2021,https://twitter.com/CBmdnc/status/1423890900841795587,11,0.00E+00,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,1.07E-15,2.07E-16,5.36E-20,3.77E-20,7.28E-04,1.20E-03
90,867,Sbartol3,false (human account),human,5/26/2021,https://twitter.com/Sbartol3/status/1397380162170277892,11,0.00E+00,6.72E-03,0.00E+00,2.00E+00,0.00E+00,0.00E+00,7.03E-04,1.07E-15,2.07E-16,5.36E-20,3.77E-20,6.26E-02,7.03E-04
91,887,SmithMEGA007,false (human account),human,7/15/2021,https://twitter.com/SmithMEGA007/status/1415557971367456768,10,0.00E+00,1.23E-104,1.06E-06,2.00E+00,1.06E-06,1.34E-06,1.74E-03,9.77E-16,1.88E-16,4.87E-20,3.43E-20,1.46E-03,1.74E-03
92,733,sgibbsters,false (human account),human,8/16/2021,https://twitter.com/sgibbsters/status/1427242982764331008,9,0.00E+00,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,8.79E-16,1.69E-16,4.39E-20,3.09E-20,7.28E-04,1.20E-03
93,917,CrashingJustice,false (human account),human,5/23/2021,https://twitter.com/CrashingJustice/status/1396271085054697473,9,0.00E+00,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,8.79E-16,1.69E-16,4.39E-20,3.09E-20,0.00E+00,1.79E-04
