,username,bot_type,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,page_rank,random_walk
184,cpredcom,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
185,phi11yref,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
186,DiannaPrays7,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
187,KelvinH40415628,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
188,rivermanbuddy,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
189,JonPort79449036,spammer,-1.68E-05,0.069184393,0.030672231,0.078178769,2,0.046631771,0.046631771
190,realalimah,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
191,marshagr52,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
192,HotyLord,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
193,crystalhicks525,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
194,danoart10,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
195,karenme36378896,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
196,sb_vickers,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
197,gracejohnmom,other,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
198,Joyce94287796,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
199,Georginbrinkly,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
200,BNic61,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
201,BegleyBig,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
202,JAMES_HARRlSON,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
203,VincenzoCrypto1,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
204,Kryz_tel17,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
205,arn_thomas,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
206,FallenFather,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
207,DonnaGonthier,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
208,dix_onthe_brain,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
209,MarkLoranger3,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
210,pickens_leon,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
211,JetThisWay1,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
212,NancyWoo74,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
213,LeslieUngar,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
214,Mississippi_son,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
215,AusbornCarol,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
216,grew_tom,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
217,kirbempire,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
218,Terese39277524,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
219,Mountaingirl4e1,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
220,Midnigh21917722,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
221,jguimara1010,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
222,kimblt01,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
223,mkhealnaturally,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
224,GIyowhi,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
225,Jayneybug,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
226,GoodLawProject,other,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
227,L4L_UK,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
228,megabitePetFood,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
229,VisennaAtzlee,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
230,2youWlove,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
231,KarenKobel,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
232,VanderleydeSo14,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
233,ThorDeplorable,self_declared,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
234,realDonaldPumpz,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
235,disclosetv,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
236,JoeBiden,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
237,kylegriffin1,self_declared,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
238,john_jakester,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
239,billpeduto,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
240,mynameisnotkim1,private_account,-1.68E-05,1.23E-104,1.06E-06,0.001456664,2,0.00174362,0.00174362
241,healer_34,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
242,Mediaite,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
243,FoxNews,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
244,JackJackedMe,other,-1.68E-05,2.61E-96,3.19E-06,0.002184996,2,0.002292211,0.002292211
245,ByronYork,other,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
246,Katiejones672,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
247,newsmax,spammer,-1.68E-05,0.003677661,0.005252273,0.07140511,2,0.054299209,0.054299209
248,KMunoz46,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
249,Fynnderella1,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
250,KJP46,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
251,dansiddiqui,spammer,0.35404278,1.15E-163,0,0,1,0.000179254,0.000179254
252,SportsPro,self_declared,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
253,Madisox43,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
254,amyklobuchar,self_declared,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
255,KristiNoem,other,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
256,kathymi71147962,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
257,KitTraverse,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
258,MagaDeltaCombo,private_account,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
259,njdotcom,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
260,RosieDimples90,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
261,pip_reaper,other,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
262,NoSurrender200,other,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
263,Slate,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
264,24hPujadas,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
265,PascalPraud,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
266,morandiniblog,self_declared,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
267,CNEWS,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
268,adspe_officiel,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
269,MartinBlachier,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
270,MicheleRivasi,self_declared,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
271,globalism_no,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
272,raroberts2010,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
273,NBCNightlyNews,self_declared,-1.88E-05,8.71E-105,0,0.000971109,2,0.000920733,0.000920733
274,RockinTrump,self_declared,-1.88E-05,1.23E-104,1.06E-06,0.001456664,2,0.00174362,0.00174362
275,BBCHughPym,self_declared,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
276,sfbtears,spammer,-1.88E-05,2.63E-117,0,0.000728332,2,0.001195029,0.001195029
277,j_windsong,spammer,-1.88E-05,2.63E-117,0,0.000728332,2,0.001195029,0.001195029
278,realsusanalbers,other,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
279,photobyluke,other,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
280,TeamMaga45,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
281,Drealstudmuffin,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
282,5gvirusnewss,self_declared,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
283,HuhtaAnnika,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
284,oude_lap,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
285,maryfloor,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
286,BorisJohnson,self_declared,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
287,RishiSunak,other,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
288,Kevin_Maguire,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
289,Nelliejs501,spammer,-1.88E-05,1.51E-96,0,0.001310998,2,0.000829301,0.000829301
290,Simone_Voice,spammer,-1.88E-05,2.61E-96,3.19E-06,0.002184996,2,0.002292211,0.002292211
291,MartinOpjeRadio,spammer,-1.88E-05,1.51E-96,0,0.001310998,2,0.000829301,0.000829301
292,EelcoBB,other,-1.88E-05,1.51E-96,0,0.001310998,2,0.000829301,0.000829301
293,OnenorthYaxilee,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
294,jedeites,spammer,-1.88E-05,1.15E-163,0,0,1,0.000179254,0.000179254
