,username,before_percolation,after_percolation,degree,change
1248,desmond185,0.0,0.0,0,no change
1247,phantom00589562,0.0,0.0,0,no change
1246,HawaiiChief2013,0.0,0.0,0,no change
1245,pkrueger1959,0.0,0.0,0,no change
1244,MIGUEL1969,0.0,0.0,0,no change
1242,dead_now_2021,0.0,0.0,0,no change
1234,xyan1061,0.0,0.0,0,no change
1241,JoP_userworld,0.0,0.0,0,no change
1240,plaroch,0.0,0.0,0,no change
1239,JackieTodd411,0.0,0.0,0,no change
1238,ApostleofPaul,0.0,0.0,0,no change
1237,dantevos95,0.0,0.0,0,no change
1236,michaelarnoldjr,0.0,0.0,0,no change
1235,Mel61502591,0.0,0.0,0,no change
1292,Marley20278163,0.0,0.0,0,no change
1293,ZalinskyS,0.0,0.0,0,no change
1294,anitajader,0.0,0.0,0,no change
1343,mcuban,0.0,0.0,0,no change
1350,stratospher_es,0.0,0.0,0,no change
1349,AlecBaldwin,0.0,0.0,0,no change
1348,yesmam47,0.0,0.0,0,no change
1347,KattyKay_,0.0,0.0,0,no change
1346,markmillward5,0.0,0.0,0,no change
1345,JReturns3,0.0,0.0,0,no change
1344,AdrienneLaF,0.0,0.0,0,no change
1342,JeBirdTweets,0.0,0.0,0,no change
1353,dmcguire05,0.0,0.0,0,no change
1341,JoyHenningsenMD,0.0,0.0,0,no change
1340,sarcastic_tara,0.0,0.0,0,no change
1339,PolitiBunny,0.0,0.0,0,no change
1338,singmolly4,0.0,0.0,0,no change
1337,eminently_me5,0.0,0.0,0,no change
1336,REMASCULATE,0.0,0.0,0,no change
1335,willfast,0.0,0.0,0,no change
1352,Kukicat7,0.0,0.0,0,no change
1354,EricaRHill,0.0,0.0,0,no change
1295,MJeanDancer,0.0,0.0,0,no change
1365,CarlosA72411359,0.0,0.0,0,no change
1372,AndreaOMag,0.0,0.0,0,no change
1371,aall0504,0.0,0.0,0,no change
1370,gamaconstrucoes,0.0,0.0,0,no change
1369,suelymo41592882,0.0,0.0,0,no change
1368,APC1965,0.0,0.0,0,no change
1367,batalau,0.0,0.0,0,no change
1366,tchelonando,0.0,0.0,0,no change
1364,Silvana81899871,0.0,0.0,0,no change
1355,Woman_of_Steele,0.0,0.0,0,no change
1363,vejaocentro,0.0,0.0,0,no change
1362,mila_sayuri,0.0,0.0,0,no change
1361,legendovideos,0.0,0.0,0,no change
1360,RAUDIRAUDI,0.0,0.0,0,no change
1359,cpso_ca,0.0,0.0,0,no change
1357,CAMHnews,0.0,0.0,0,no change
1356,j_g_allen,0.0,0.0,0,no change
1334,ProgressTroll,0.0,0.0,0,no change
1333,Kubek_St,0.0,0.0,0,no change
1332,missanarchyk,0.0,0.0,0,no change
1304,JohnZilli,0.0,0.0,0,no change
1311,Jan_20_2021,0.0,0.0,0,no change
1310,FOX19Tricia,0.0,0.0,0,no change
1309,crypto_mb83,0.0,0.0,0,no change
1308,corepunch,0.0,0.0,0,no change
1307,Testing11311,0.0,0.0,0,no change
1306,WantToCtheWorld,0.0,0.0,0,no change
1305,BuckyFrancis,0.0,0.0,0,no change
1303,MelissaSweetDr,0.0,0.0,0,no change
1331,Roman90533412,0.0,0.0,0,no change
1302,JacqEHoward,0.0,0.0,0,no change
1301,CroakeyNews,0.0,0.0,0,no change
1300,Loftus,0.0,0.0,0,no change
1299,jonathanrockoff,0.0,0.0,0,no change
1298,SecBecerra,0.0,0.0,0,no change
1297,dkhnguess,0.0,0.0,0,no change
1296,David32856757,0.0,0.0,0,no change
1312,PensiveTM,0.0,0.0,0,no change
1313,mx_isa,0.0,0.0,0,no change
1314,fantasyhog2010,0.0,0.0,0,no change
1315,nott1971,0.0,0.0,0,no change
1330,ThePolyLife,0.0,0.0,0,no change
1329,ChmielMaciej,0.0,0.0,0,no change
1328,apoorva_nyc,0.0,0.0,0,no change
1327,matylet,0.0,0.0,0,no change
1326,mille16246,0.0,0.0,0,no change
1325,DonCryptoDraper,0.0,0.0,0,no change
1324,PeteGDunne,0.0,0.0,0,no change
1323,BKM006,0.0,0.0,0,no change
1322,EnduranceDriver,0.0,0.0,0,no change
1321,BJSmithIEEE,0.0,0.0,0,no change
1320,Oscillatting,0.0,0.0,0,no change
1319,WheresTheTruth3,0.0,0.0,0,no change
1318,lynnluvsbeach,0.0,0.0,0,no change
1317,Theresa26048595,0.0,0.0,0,no change
1316,AnnetteRockwe10,0.0,0.0,0,no change
1214,foggie_marcia,0.0,0.0,0,no change
1213,Burgos8ana,0.0,0.0,0,no change
1212,DMDicarlo,0.0,0.0,0,no change
1068,PP26108839,0.0,0.0,0,no change
1075,DebandezScott,0.0,0.0,0,no change
1074,HelterS05050764,0.0,0.0,0,no change
1073,Spirit93905700,0.0,0.0,0,no change
1072,Bruce44999894,0.0,0.0,0,no change
1071,Huongsilei_2020,0.0,0.0,0,no change
1070,RachelRui2,0.0,0.0,0,no change
1069,angaventure,0.0,0.0,0,no change
1067,199041784,0.0,0.0,0,no change
1078,bballengland,0.0,0.0,0,no change
1066,Peter_Guan2018,0.0,0.0,0,no change
1064,xYsfknBXPT6M0jo,0.0,0.0,0,no change
1063,Chan7614,0.0,0.0,0,no change
1062,avokasianssi,0.0,0.0,0,no change
1061,HendrikMulder9,0.0,0.0,0,no change
1060,annietime,0.0,0.0,0,no change
1059,EduartXie,0.0,0.0,0,no change
1076,lildutchgirl1,0.0,0.0,0,no change
1080,M_Raggamuffin,0.0,0.0,0,no change
1107,OGSparklezz,0.0,0.0,0,no change
1098,sprinkle4k,0.0,0.0,0,no change
1105,Ramshaofficial,0.0004130046566540465,0.0005442667056900361,0,increase
1104,RedMerseyman,0.0,0.0,0,no change
1103,zebslc,0.0,0.0,0,no change
